QuestionID,Category,Topic,Question,Answer,AnswerChoice1,AnswerChoice2,AnswerChoice3,AnswerChoice4
1,Cloud Concepts,Cloud Benefits,Which cloud concept describes the ability to recover from a region-wide failure?,Disaster Recovery,High availability,Fault tolerance,Disaster Recovery,Agility
2,Cloud Concepts,Cloud Benefits,Which cloud concept describes the ability to increase or decrease resources to meet demand?,Scalability,Agility,High availability,Scalability,Reliability
3,Cloud Concepts,Cloud Benefits,Which cloud benefit describes the ability to rapidly deploy and update applications and resources?,Agility,Agility,Fault tolerance,Reliability,Elasticity
4,Cloud Concepts,CapEx vs OpEx,Which type of expense is a monthly subscription fee for a software service?,OpEx,Total Cost of Ownership (TCO),OpEx,CapEx,Return on Investment (ROI)
5,Cloud Concepts,Service Models,"In Azure, in which service model does the cloud provider manage the physical infrastructure and the operating system, but the customer manages the application and data?",PaaS,SaaS,IaaS,FaaS (serverless),PaaS
6,Cloud Concepts,Service Models,"In Azure, Microsoft 365 is an example of which cloud service model?",SaaS,FaaS (serverless),PaaS,SaaS,IaaS
7,Cloud Concepts,Cloud Models,Which cloud deployment model is owned and operated by the organization that uses it?,Private Cloud,Hybrid Cloud,Public Cloud,Community Cloud,Private Cloud
8,Cloud Concepts,Cloud Models,"In Azure, a deployment that combines public and private clouds is known as?",Hybrid Cloud,Community Cloud,Private Cloud,Hybrid Cloud,Public Cloud
9,Azure Architecture,Regions,"In Azure, a region pair is defined as:",Two regions in the same geography,Two regions in the same geography,Two regions in different geographies,Two availability zones in one region,Two datacenters in the same region
10,Azure Architecture,Availability Zones,Azure Availability Zones are designed to protect against which type of failure?,Datacenter failure,Tenant failure,Resource Group failure,Subscription failure,Datacenter failure
11,Azure Architecture,Resources,Which statement is true about Azure Resource Groups?,Resources can be moved between resource groups,Resources can be moved between resource groups,A resource can belong to multiple resource groups at the same time,Resource groups must be in the same region as all resources,Deleting a resource group keeps the resources
12,Azure Architecture,Management Groups,What is the highest level of scope for applying policies in Azure?,Management Group,Azure Monitor,Management Group,Azure Advisor,Azure Policy
13,Azure Architecture,Subscriptions,An Azure subscription is primarily a logical container for:,Billing and Access Control,Compute capacity only,Billing and Access Control,Physical storage,Networking hardware
14,Azure Services,Compute,Which service creates a scale set of identical VMs?,Azure Virtual Machine Scale Sets,Azure Virtual Machine Scale Sets,Azure Container Instances,Azure Batch,Azure Virtual Machines
15,Azure Services,Compute,Which service is used to run containerized applications without managing the underlying servers?,Azure Container Instances,Azure Virtual Machine Scale Sets,Azure Virtual Machines,Azure Kubernetes Service (AKS),Azure Container Instances
16,Azure Services,Compute,What is the orchestration service for managing large numbers of containers?,Azure Kubernetes Service (AKS),Azure Batch,Azure Kubernetes Service (AKS),Azure App Service,Azure Functions
17,Azure Services,Compute,Which service allows you to provide a cloud-based desktop experience to users?,Azure Virtual Desktop,Azure App Service,Azure Virtual Desktop,Azure Batch,Azure Dedicated Host
18,Azure Services,Networking,Which resource isolates your Azure resources from the internet and other networks?,Azure Virtual Network (VNet),Network Security Group (NSG),Azure Virtual Network (VNet),Azure Load Balancer,Azure Traffic Manager
19,Azure Services,Networking,"In Azure, to communicate between two virtual networks in the same region, you should use:",VNet Peering,VNet Peering,Network Security Group (NSG),Azure Application Gateway,Azure Virtual Network (VNet)
20,Azure Services,Networking,Which service routes traffic to the closest endpoint based on DNS?,Azure Traffic Manager,ExpressRoute,Azure Front Door,Azure Firewall,Azure Traffic Manager
21,Azure Services,Networking,What is the primary purpose of Azure Application Gateway?,Web traffic load balancing (Layer 7),Web traffic load balancing (Layer 7),Global DNS-based traffic routing,Private connectivity between networks,Network traffic load balancing (Layer 4)
22,Azure Services,Storage,Which Azure Blob Storage access tier is best for data that is rarely accessed and can tolerate the highest retrieval latency?,Archive Tier,Premium Tier,Cool Tier,Archive Tier,Hot Tier
23,Azure Services,Storage,Which redundancy option keeps three copies of your data within a single Azure datacenter region?,Locally-redundant storage (LRS),Zone-redundant storage (ZRS),Read-access geo-redundant storage (RA-GRS),Locally-redundant storage (LRS),Geo-redundant storage (GRS)
24,Azure Services,Storage,Which service is used for migrating large amounts of data to Azure by shipping physical disks?,Azure Data Box,Azure Import/Export,Azure Data Box,Azure Storage Explorer,Azure File Sync
25,Azure Services,Storage,You want to migrate a SQL Server application with minimal code changes while reducing management overhead. Which service should you use?,Azure SQL Managed Instance,Azure SQL Database,SQL Server on Azure Virtual Machines,Azure SQL Managed Instance,Azure Cosmos DB
26,Identity & Security,Entra ID,Which feature restricts access based on signals like user location or device health?,Conditional Access,Role-Based Access Control (RBAC),Conditional Access,Multi-Factor Authentication (MFA),Single Sign-On (SSO)
27,Identity & Security,Security,Which concept suggests always verifying explicitly and assuming breach?,Zero Trust,Shared responsibility,Defense in depth,Zero Trust,Least privilege
28,Identity & Security,Defense,Which service helps you strengthen your Azure security posture and protect workloads with threat protection recommendations?,Microsoft Defender for Cloud,Azure Firewall,Azure Security Center,Microsoft Defender for Cloud,Microsoft Sentinel
29,Identity & Security,SIEM,What is Azure's cloud-native SIEM (Security Information and Event Management) solution?,Microsoft Sentinel,Microsoft Defender for Cloud,Log Analytics,Microsoft Sentinel,Azure Monitor
30,Identity & Security,Secrets,"Where should you store application secrets, keys, and certificates securely?",Azure Key Vault,Azure Monitor,Azure Key Vault,Azure Storage account,Azure Policy
31,Governance,Policy,Which service enforces rules on resources to ensure compliance?,Azure Policy,Azure Blueprints,Resource locks,Azure Policy,Tags
32,Governance,Blueprints,Which service helps you define a repeatable set of Azure resources that implements organizational standards? (Note: Azure Blueprints is being deprecated.),Azure Blueprints,Azure Policy,Azure Blueprints,ARM templates,Management groups
33,Governance,Privacy,Where can you find audit reports and compliance documentation for Microsoft cloud services?,Service Trust Portal,Microsoft Trust Center,Service Trust Portal,Azure Advisor,Azure Status
34,Governance,Cost,Which tool analyzes your usage and provides recommendations to optimize cost and performance?,Azure Advisor,Azure Pricing Calculator,Azure Cost Management + Billing,Azure Advisor,TCO Calculator
35,Governance,Tags,"In Azure, what are key-value pairs used to categorize resources for billing and management?",Tags,Resource locks,Resource groups,Tags,Management groups
36,Cloud Concepts,Economies of Scale,"In Azure, why is cloud computing generally cheaper than on-premises for small businesses?",Economies of Scale,Elasticity,High availability,Economies of Scale,Capital expenditure (CapEx)
37,Azure Services,Marketplace,Where can you find and deploy third-party solutions and VM images that run on Azure?,Azure Marketplace,Azure Portal,Azure Marketplace,Azure Advisor,Microsoft AppSource
38,Azure Architecture,SLA,What outlines Microsoft's commitment to uptime and connectivity?,Service Level Agreement (SLA),General Availability (GA),Public Preview,Total Cost of Ownership (TCO),Service Level Agreement (SLA)
39,Azure Architecture,Lifecycle,"Which phase of a feature's lifecycle allows all Azure customers to use it, often with an SLA?",General Availability (GA),Private Preview,Public Preview,End of support,General Availability (GA)
40,Azure Services,IoT,Which service provides a turnkey solution for IoT apps with no coding required?,Azure IoT Central,Azure Sphere,Azure IoT Central,Azure Event Hubs,Azure IoT Hub
41,Azure Services,Big Data,Which service is an analytics service that brings together enterprise data warehousing and Big Data analytics?,Azure Synapse Analytics,Azure Synapse Analytics,Azure Data Factory,Azure Databricks,Azure HDInsight
42,Azure Services,DevOps,Which service enables you to quickly create environments for development and testing using templates?,Azure DevTest Labs,Azure Automation,GitHub Actions,Azure DevTest Labs,Azure DevOps
43,Identity & Security,Firewall,"What is a managed, cloud-based network security service that protects your Azure VNet resources?",Azure Firewall,Azure Application Gateway,Azure Firewall,Network Security Group (NSG),Azure Front Door
44,Identity & Security,DDoS,Which DDoS protection tier is enabled by default for all Azure customers?,Basic,Standard,Basic,Premium,Not applicable
45,Governance,TCO,Which calculator helps you estimate the cost savings of migrating to Azure?,TCO Calculator,Azure Pricing Calculator,Azure Advisor,TCO Calculator,Cost Management + Billing
46,Cloud Concepts,Reliability,Which design principle ensures a system can recover from failures and continue to function?,Reliability,Scalability,Reliability,Disaster recovery,High availability
47,Azure Services,Integration,Which serverless service is used to automate workflows and integrate apps/data?,Azure Logic Apps,Azure Logic Apps,Azure Service Bus,Azure Event Grid,Azure Event Hubs
48,Azure Services,Integration,Which service creates a fully managed event routing service?,Azure Event Grid,Azure Event Hubs,Azure Event Grid,Azure Logic Apps,Azure Service Bus
49,Azure Services,Management,Which tool provides a command-line experience in the browser for managing Azure resources?,Azure Cloud Shell,Azure CLI,Azure PowerShell,Azure Portal,Azure Cloud Shell
50,Azure Services,Management,Which mobile app allows you to monitor the status of your Azure resources on the go?,Azure Mobile App,Azure Mobile App,Azure CLI,Azure Portal,Azure PowerShell
51,Identity,Federation,What allows users to use their existing credentials (like Google or Facebook) to sign in?,B2C (Business to Consumer),B2C (Business to Consumer),B2E (Business to Employee),RBAC,B2B (Business to Business)
52,Compliance,China,Who operates Azure in China?,21Vianet,Azure Public Cloud,21Vianet,Azure Germany,Azure Government
53,Compliance,Government,Which Azure cloud is designed specifically for US government agencies?,Azure Government,Azure Government,Azure Public Cloud,Azure China,Azure Germany
54,Cost,Reservations,What purchasing option offers a discount for committing to a 1 or 3 year usage?,Azure Reservations,Azure Reservations,Spot Instances,Pay-as-you-go,Azure Hybrid Benefit
55,Cost,Spot,Which VM type allows you to use unused Azure capacity at a deep discount but can be evicted?,Spot Instances,Reserved Instances,Pay-as-you-go,Spot Instances,Dedicated Hosts
56,Azure Services,Database,Which open-source database engines are available as managed services on Azure?,"MySQL, PostgreSQL, MariaDB","MySQL, PostgreSQL, MariaDB",Azure Database for MySQL,Azure SQL Managed Instance,Azure SQL Database
57,Azure Services,Compute,What is the main benefit of using an Availability Set for Azure virtual machines?,Redundancy within a datacenter,Autoscaling based on demand,Global DNS-based routing,Redundancy across regions,Redundancy within a datacenter
58,Azure Services,Storage,Which blob type is typically used to store large unstructured data such as images and videos?,Block Blob,Azure Files,Append Blob,Block Blob,Page Blob
59,Azure Services,Storage,Which blob type is optimized for random read/write operations such as Azure VM disks (VHDs)?,Page Blob,Append Blob,Azure Disk Storage,Page Blob,Block Blob
60,Azure Services,Files,Which service offers fully managed file shares in the cloud accessible via SMB?,Azure Files,Azure Blob Storage,Azure Disk Storage,Azure Files,Azure Data Box
61,Cloud Concepts,Responsibility,Who is responsible for the data in all cloud service models?,The Customer,The Customer,A third-party auditor,Your ISP,Microsoft (cloud provider)
62,Security,Network,What defines security rules to allow or deny traffic to a subnet?,Network Security Group (NSG),Network Security Group (NSG),Azure Firewall,Azure DDoS Protection,Azure Load Balancer
63,Security,Encryption,What is the status of data in Azure Storage by default?,Encrypted at rest,Encrypted in transit only,Encrypted at rest,Unencrypted,Hashed
64,Monitoring,Health,Which service tells you about Azure service issues that affect you specifically?,Azure Service Health,Azure Status,Azure Monitor,Azure Advisor,Azure Service Health
65,Monitoring,Status,Which page shows the global health status of all Azure services?,Azure Status,Azure Status,Azure Advisor,Azure Service Health,Azure Monitor
66,Identity,RBAC,Which role allows a user to manage everything except access?,Contributor,Contributor,Reader,User Access Administrator,Owner
67,Identity,RBAC,Which role allows a user to view resources but not make changes?,Reader,Reader,User Access Administrator,Owner,Contributor
68,Identity,RBAC,Which role implies full access to all resources including the right to delegate access?,Owner,Owner,Reader,Contributor,User Access Administrator
69,Governance,Locks,Which lock type prevents deletion but allows modification?,CanNotDelete,ReadOnly,NoLock,CanNotDelete,NoWrite
70,Governance,Locks,Which lock type prevents any change to the resource?,ReadOnly,NoLock,CanNotDelete,ReadOnly,NoWrite
71,Architecture,SLA,Two independent Azure services each have an SLA of 99.9%. What is the approximate composite SLA when both are required?,99.8%,99.9%,99.8%,100%,99.99%
72,Architecture,Preview,Are Preview features in Azure covered by a service level agreement (SLA)?,No,Yes,Only GA,Only Public Preview,No
73,Support,Plans,Which support plan allows 24/7 access to support engineers via email and phone?,Standard,Standard,Basic,Professional Direct,Developer
74,Support,Plans,Which support plan includes architectural guidance?,Professional Direct,Basic,Developer,Standard,Professional Direct
75,Cloud Concepts,Cloud Types,Which cloud deployment model is hosted and managed by a third-party provider and shared across multiple customers?,Public cloud,Private cloud,Hybrid cloud,Public cloud,Community cloud
76,Cloud Concepts,Cloud Types,Which cloud deployment model is owned and operated by a single organization in its own datacenter?,Private cloud,Public cloud,Private cloud,Hybrid cloud,Multicloud
77,Cloud Concepts,Cloud Types,Which cloud deployment model combines on-premises infrastructure with public cloud services?,Hybrid cloud,Hybrid cloud,Private cloud,Public cloud,SaaS
78,Cloud Concepts,Cloud Pricing,Which cloud pricing model charges you only for the resources you consume?,Consumption-based model,Reserved capacity,Consumption-based model,Capital expenditure,Fixed pricing
79,Cloud Concepts,Cloud Pricing,"In cloud computing, purchasing servers and networking equipment upfront is an example of which cost type?",CapEx,OpEx,CapEx,Consumption-based,Variable cost
80,Cloud Concepts,Cloud Pricing,"In cloud computing, paying monthly for services based on usage is an example of which cost type?",OpEx,CapEx,Depreciation,OpEx,One-time cost
81,Azure Architecture,Regions & Availability,What is an Azure region?,A geographic area that contains one or more datacenters,A single datacenter building,A geographic area that contains one or more datacenters,A container for Azure subscriptions,A private network segment in Azure
82,Azure Architecture,Regions & Availability,What is an Azure availability zone?,A physically separate datacenter within an Azure region,A group of subscriptions,A physically separate datacenter within an Azure region,A global content delivery network,A pricing tier for virtual machines
83,Azure Architecture,Regions & Availability,What is the primary purpose of Azure region pairs?,Provide disaster recovery and data residency within the same geography,Increase storage performance,Provide disaster recovery and data residency within the same geography,Enable private connectivity to Azure,Reduce compute costs
84,Azure Architecture,Regions & Availability,Which statement best describes zonal services in Azure?,They run in a single availability zone and require you to configure redundancy,They automatically span multiple regions,They run in a single availability zone and require you to configure redundancy,They are always globally distributed,They are only available in sovereign clouds
85,Azure Architecture,Regions & Availability,Which statement best describes zone-redundant services in Azure?,Azure automatically replicates the service across multiple availability zones,Azure automatically replicates the service across multiple availability zones,The service runs only in one datacenter,The service requires a VPN to function,The service is limited to one subscription
86,Azure Architecture,Azure Environments,Which Azure environment is designed to meet US government compliance requirements?,Azure Government,Azure Stack,Azure Government,Azure DevTest,Azure China
87,Identity & Security,Identity Concepts,Which Azure service is Microsoft’s cloud-based identity and access management (IAM) solution?,Azure Active Directory (Azure AD),Azure Resource Manager,Azure Active Directory (Azure AD),Azure Key Vault,Microsoft Purview
88,Identity & Security,Authentication & Authorization,What is the primary purpose of Multi-Factor Authentication (MFA)?,Require two or more verification methods to sign in,Encrypt data at rest,Require two or more verification methods to sign in,Assign permissions to resources,Provide network isolation
89,Identity & Security,Authentication & Authorization,Which term describes verifying the identity of a user before granting access?,Authentication,Authorization,Federation,Authentication,Accounting
90,Identity & Security,Authentication & Authorization,Which term describes determining what actions a user can perform after they sign in?,Authorization,Authentication,Authorization,Encryption,Auditing
91,Identity & Security,Access Management,"Which Azure feature is used to assign built-in roles like Reader, Contributor, or Owner to users?",Role-Based Access Control (RBAC),Azure Policy,Role-Based Access Control (RBAC),Azure Monitor,Network Security Group (NSG)
92,Identity & Security,Conditional Access,What is Conditional Access in Azure AD?,Policy-based access control that can enforce requirements like MFA based on conditions,A storage replication feature,Policy-based access control that can enforce requirements like MFA based on conditions,A DNS routing service,A virtual network segmentation feature
93,Identity & Security,Single Sign-On,What is the main benefit of Single Sign-On (SSO)?,Users sign in once and access multiple applications without re-entering credentials,Users receive a dedicated public IP address,Users sign in once and access multiple applications without re-entering credentials,Data is automatically replicated across regions,Virtual machines scale automatically
94,Governance,Governance Tools,Which Azure service provides guardrails by enforcing rules about what can be deployed and how resources must be configured?,Azure Policy,Azure Policy,Azure Advisor,Azure Monitor,Azure Firewall
95,Governance,Governance Tools,What is an Azure initiative?,A collection of Azure Policies grouped together for a broader goal,A global load balancer,A collection of Azure Policies grouped together for a broader goal,A resource group template,A billing account
96,Governance,Cost Management,Which Azure feature helps you track spending and receive alerts when costs approach a defined limit?,Budget,Budget,Availability Zone,Resource Lock,Service Endpoint
97,Governance,Scopes,Which Azure scope is used to organize multiple subscriptions into a hierarchy for governance?,Management group,Resource group,Management group,Availability zone,VNet
98,Governance,Scopes,Which Azure scope is considered a billing boundary and resource quota boundary?,Subscription,Management group,Subscription,Resource provider,Availability zone
99,Governance,Scopes,What is the main purpose of an Azure resource group?,Organize resources that share the same lifecycle,Provide network isolation,Organize resources that share the same lifecycle,Encrypt storage data,Enable global traffic routing
100,Governance,Resource Protection,Which resource lock type prevents a resource from being deleted but still allows modifications?,CanNotDelete,ReadOnly,CanNotDelete,DeleteAllowed,Immutable
101,Governance,Resource Protection,Which resource lock type prevents a resource from being modified or deleted?,ReadOnly,ReadOnly,CanNotDelete,Contributor,Owner
102,Governance,Organization,Which statement is true about Azure tags?,Tags are key-value pairs used to logically organize resources for cost and management,Tags automatically enforce network security rules,Tags are key-value pairs used to logically organize resources for cost and management,Tags prevent deletion of resources,Tags replace RBAC roles
103,Governance,Organization,"By default, what happens to tags applied to a resource group?",They do not automatically inherit to resources inside the group,They automatically inherit to all resources,They do not automatically inherit to resources inside the group,They convert into RBAC permissions,They lock the resource group from deletion
104,Azure Services,Management Tools,What is Azure Resource Manager (ARM)?,The management layer used to deploy and manage Azure resources,A data storage service,The management layer used to deploy and manage Azure resources,A DNS routing service,A virtual machine scaling service
105,Azure Services,Infrastructure as Code,Which property of ARM templates means they can be safely deployed multiple times and only apply changes when needed?,Idempotent,Stateless,Immutable,Idempotent,Synchronous
106,Azure Services,Infrastructure as Code,What is Bicep in Azure?,A domain-specific language that compiles to ARM templates,A Kubernetes add-on,A domain-specific language that compiles to ARM templates,A storage redundancy option,A managed database engine
107,Azure Services,Infrastructure as Code,Which third-party Infrastructure as Code tool uses HCL and supports multi-cloud deployments including Azure?,Terraform,Bicep,Terraform,ARM Portal,Azure Monitor
108,Azure Services,Compute,Which Azure compute service provides full control over the operating system and installed software?,Virtual Machines,Azure Functions,Virtual Machines,Azure Logic Apps,Azure App Service
109,Azure Services,Compute,Which Azure service allows you to deploy and automatically scale a set of identical virtual machines?,Virtual Machine Scale Sets,Virtual Machine Scale Sets,Azure Container Instances,Azure Key Vault,Azure VPN Gateway
110,Azure Services,Containers,Which Azure service lets you run a container without managing servers or Kubernetes?,Azure Container Instances (ACI),Azure Kubernetes Service (AKS),Azure Container Instances (ACI),Azure Dedicated Host,Azure Batch
111,Azure Services,Containers,Which Azure service is a managed Kubernetes platform for orchestrating containerized applications?,Azure Kubernetes Service (AKS),Azure App Service,Azure Kubernetes Service (AKS),Azure Logic Apps,Azure Virtual Desktop
112,Azure Services,Serverless,Which Azure service runs event-driven code and charges based on execution time?,Azure Functions,Azure Functions,Azure Virtual Machines,Azure Firewall,Azure Storage
113,Azure Services,Serverless,Which Azure service is best for no-code/low-code workflow automation using connectors?,Azure Logic Apps,Azure Logic Apps,Azure Kubernetes Service,Azure Batch,Azure Dedicated Host
114,Azure Services,Security Services,"Which Azure service is designed to store and manage secrets, keys, and certificates securely?",Azure Key Vault,Azure Key Vault,Azure Monitor,Azure Bastion,Azure Storage Account
115,Identity & Security,Managed Identity,What is the main benefit of using a managed identity to access Azure Key Vault?,It allows services to authenticate without storing credentials in code,It enables global load balancing,It allows services to authenticate without storing credentials in code,It automatically encrypts blobs with customer keys,It creates a private endpoint automatically
116,Azure Services,Networking,"Which Azure networking service allows you to block or allow traffic using rules based on IP, port, and protocol?",Network Security Group (NSG),Azure Firewall,Network Security Group (NSG),Azure Traffic Manager,Azure Front Door
117,Azure Services,Networking,At which OSI layer do Network Security Groups (NSGs) operate?,Layer 4 (Transport),Layer 7 (Application),Layer 4 (Transport),Layer 3 (Network),Layer 2 (Data Link)
118,Azure Services,Networking,"Which Azure service is a managed, stateful firewall that can filter traffic using FQDNs and URLs?",Azure Firewall,Azure Load Balancer,Azure Firewall,Network Security Group (NSG),Azure VPN Gateway
119,Azure Services,Networking,Why are User-Defined Routes (UDRs) commonly used with Azure Firewall?,To force traffic to flow through the firewall for inspection,To enable multi-factor authentication,To force traffic to flow through the firewall for inspection,To create private IP addresses for SaaS,To replicate data across regions
120,Azure Services,Networking,What is the key difference between a Service Endpoint and a Private Endpoint?,A Private Endpoint assigns a private IP in your VNet to the service,A Service Endpoint assigns a private IP in your VNet to the service,A Private Endpoint assigns a private IP in your VNet to the service,Both require ExpressRoute,Both are only for virtual machines
121,Azure Services,Networking,Which DDoS protection tier is enabled automatically for all Azure public IP addresses?,DDoS Basic,DDoS Standard,DDoS Premium,DDoS Basic,DDoS Advanced
122,Azure Services,Networking,Which Azure service provides global Layer 7 HTTP/HTTPS load balancing at Microsoft’s edge network?,Azure Front Door,Azure Traffic Manager,Azure Front Door,Azure Load Balancer,Azure Application Gateway (WAF only)
123,Azure Services,Networking,Which Azure service uses DNS-based routing to direct clients to the closest or healthiest endpoint?,Azure Traffic Manager,Azure Front Door,Azure Traffic Manager,Azure Firewall,Azure VPN Gateway
124,Azure Services,Storage,Which Azure storage redundancy option replicates data across three availability zones within the same region?,ZRS,LRS,ZRS,GRS,GZRS
125,Azure Services,Storage,Which Azure storage redundancy option provides the highest durability by replicating across zones in the primary region and to a paired secondary region?,GZRS,ZRS,GZRS,LRS,GRS
126,Azure Services,Storage,What does the “RA” in RA-GRS or RA-GZRS indicate?,Read access to the secondary region during an outage,Redundant access for archives,Read access to the secondary region during an outage,Replication across availability zones only,Real-time synchronous replication
127,Azure Services,Storage,Which blob type is optimized for storing virtual machine disks (VHD files)?,Page blob,Append blob,Page blob,Block blob,Queue message
128,Azure Services,Storage,Which Azure storage access tier is intended for data that is rarely accessed and must be rehydrated before use?,Archive,Hot,Cool,Archive,Premium
